Number, Name, Types, Type1, Type2, Height(m), Weight(kg), Male_Pct, Female_Pct, Capt_Rate, Exp_Points, Exp_Speed, Base_Total, HP, Attack, Defense, Special, Speed, Normal_Dmg, Fire_Dmg, Water_Dmg, Eletric_Dmg, Grass_Dmg, Ice_Dmg, Fight_Dmg, Poison_Dmg, Ground_Dmg, Flying_Dmg, Psychic_Dmg, Bug_Dmg, Rock_Dmg, Ghost_Dmg, Dragon_Dmg, Evolutions,Legendary
1,Bulbasaur,2,grass,poison,0.7,6.9,87.5,12.5,45,1059860,Medium Slow,253,45,49,49,65,45,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,4,1,1,1,2,0
2,Ivysaur,2,grass,poison,1,13,87.5,12.5,45,1059860,Medium Slow,325,60,62,63,80,60,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,4,1,1,1,2,0
3,Venusaur,2,grass,poison,2,100,87.5,12.5,45,1059860,Medium Slow,425,80,82,83,100,80,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,4,1,1,1,2,0
4,Charmander,1,fire,None,0.6,8.5,87.5,12.5,45,1059860,Medium Slow,249,39,52,43,50,65,1,0.5,2,1,0.5,1,1,1,2,1,1,0.5,2,1,1,2,0
5,Charmeleon,1,fire,None,1.1,19,87.5,12.5,45,1059860,Medium Slow,325,58,64,58,65,80,1,0.5,2,1,0.5,1,1,1,2,1,1,0.5,2,1,1,2,0
6,Charizard,2,fire,flying,1.7,90.5,87.5,12.5,45,1059860,Medium Slow,425,78,84,78,85,100,1,0.5,2,2,0.25,2,0.5,1,0,1,1,0.25,4,1,1,2,0
7,Squirtle,1,water,None,0.5,9,87.5,12.5,45,1059860,Medium Slow,250,44,48,65,50,43,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,2,0
8,Wartortle,1,water,None,1,22.5,87.5,12.5,45,1059860,Medium Slow,325,59,63,80,65,58,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,2,0
9,Blastoise,1,water,None,1.6,85.5,87.5,12.5,45,1059860,Medium Slow,425,79,83,100,85,78,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,2,0
10,Caterpie,1,bug,None,0.3,2.9,50,50,255,1000000,Medium Fast,175,45,30,35,20,45,1,2,1,1,0.5,1,0.5,2,0.5,2,1,1,2,1,1,2,0
11,Metapod,1,bug,None,0.7,9.9,50,50,120,1000000,Medium Fast,180,50,20,55,25,30,1,2,1,1,0.5,1,0.5,2,0.5,2,1,1,2,1,1,2,0
12,Butterfree,2,bug,flying,1.1,32,50,50,45,1000000,Medium Fast,305,60,45,50,80,70,1,2,1,2,0.25,2,0.25,2,0,2,1,0.5,4,1,1,2,0
13,Weedle,2,bug,poison,0.3,3.2,50,50,255,1000000,Medium Fast,175,40,35,30,20,50,1,2,1,1,0.25,1,0.25,1,1,2,2,2,2,1,1,2,0
14,Kakuna,2,bug,poison,0.6,10,50,50,120,1000000,Medium Fast,180,45,25,50,25,35,1,2,1,1,0.25,1,0.25,1,1,2,2,2,2,1,1,2,0
15,Beedrill,2,bug,poison,1,29.5,50,50,45,1000000,Medium Fast,305,65,80,40,45,75,1,2,1,1,0.25,1,0.25,1,1,2,2,2,2,1,1,2,0
16,Pidgey,2,normal,flying,0.3,1.8,50,50,255,1059860,Medium Slow,216,40,45,40,35,56,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,2,0
17,Pidgeotto,2,normal,flying,1.1,30,50,50,120,1059860,Medium Slow,299,63,60,55,50,71,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,2,0
18,Pidgeot,2,normal,flying,1.5,39.5,50,50,45,1059860,Medium Slow,399,83,80,75,70,91,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,2,0
19,Rattata,1,normal,None,0.3,3.5,50,50,255,1000000,Medium Fast,218,30,56,35,25,72,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,0
20,Raticate,1,normal,None,0.7,18.5,50,50,127,1000000,Medium Fast,343,55,81,60,50,97,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,0
21,Spearow,2,normal,flying,0.3,2,50,50,255,1000000,Medium Fast,231,40,60,30,31,70,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,0
22,Fearow,2,normal,flying,1.2,38,50,50,90,1000000,Medium Fast,381,65,90,65,61,100,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,0
23,Ekans,1,poison,None,2,6.9,50,50,255,1000000,Medium Fast,234,35,60,44,40,55,1,1,1,1,0.5,1,0.5,0.5,2,1,2,2,1,1,1,1,0
24,Arbok,1,poison,None,3.5,65,50,50,90,1000000,Medium Fast,359,60,85,69,65,80,1,1,1,1,0.5,1,0.5,0.5,2,1,2,2,1,1,1,1,0
25,Pikachu,1,electric,None,0.4,6,50,50,190,1000000,Medium Fast,260,35,55,30,50,90,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0
26,Raichu,1,electric,None,0.8,30,50,50,75,1000000,Medium Fast,395,60,90,55,90,100,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0
27,Sandshrew,1,ground,None,0.6,12,50,50,255,1000000,Medium Fast,280,50,75,85,30,40,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,0
28,Sandslash,1,ground,None,1,29.5,50,50,90,1000000,Medium Fast,405,75,100,110,55,65,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,0
29,Nidoran,1,poison,None,0.4,7,0,100,235,1059860,Medium Slow,235,55,47,52,40,41,1,1,1,1,0.5,1,0.5,0.5,2,1,2,2,1,1,1,2,0
30,Nidorina,1,poison,None,0.8,20,0,100,120,1059860,Medium Slow,310,70,62,67,55,56,1,1,1,1,0.5,1,0.5,0.5,2,1,2,2,1,1,1,2,0
31,Nidoqueen,2,poison,ground,1.3,60,0,100,45,1059860,Medium Slow,410,90,82,87,75,76,1,1,2,0,1,2,0.5,0.25,2,1,2,2,0.5,1,1,2,0
32,Nidoran,1,poison,None,0.5,9,100,0,235,1059860,Medium Slow,233,46,57,40,40,50,1,1,1,1,0.5,1,0.5,0.5,2,1,2,2,1,1,1,2,0
33,Nidorino,1,poison,None,0.9,19.5,100,0,120,1059860,Medium Slow,310,61,72,57,55,65,1,1,1,1,0.5,1,0.5,0.5,2,1,2,2,1,1,1,2,0
34,Nidoking,2,poison,ground,1.4,62,100,0,45,1059860,Medium Slow,410,81,92,77,75,85,1,1,2,0,1,2,0.5,0.25,2,1,2,2,0.5,1,1,2,0
35,Clefairy,1,normal,None,0.6,7.5,25,75,150,800000,Fast,258,70,45,48,60,35,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,0
36,Clefable,1,normal,None,1.3,40,25,75,25,800000,Fast,383,95,70,73,85,60,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,0
37,Vulpix,1,fire,None,0.6,9.9,25,75,190,1000000,Medium Fast,249,38,41,40,65,65,1,0.5,2,1,0.5,1,1,1,2,1,1,0.5,2,1,1,1,0
38,Ninetales,1,fire,None,1.1,19.9,25,75,75,1000000,Medium Fast,424,73,76,75,100,100,1,0.5,2,1,0.5,1,1,1,2,1,1,0.5,2,1,1,1,0
39,Jigglypuff,1,normal,None,0.5,5.5,25,75,170,800000,Fast,225,115,45,20,25,20,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,0
40,Wigglytuff,1,normal,None,1,12,25,75,50,800000,Fast,350,140,70,45,50,45,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,0
41,Zubat,2,poison,flying,0.8,7.5,50,50,255,1000000,Medium Fast,215,40,45,35,40,55,1,1,1,2,0.25,2,0.25,0.5,0,1,2,1,2,1,1,1,0
42,Golbat,2,poison,flying,1.6,55,50,50,90,1000000,Medium Fast,390,75,80,70,75,90,1,1,1,2,0.25,2,0.25,0.5,0,1,2,1,2,1,1,1,0
43,Oddish,2,grass,poison,0.5,5.4,50,50,255,1059860,Medium Slow,255,45,50,55,75,30,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,4,1,1,1,2,0
44,Gloom,2,grass,poison,0.8,8.6,50,50,120,1059860,Medium Slow,320,60,65,70,85,40,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,4,1,1,1,2,0
45,Vileplume,2,grass,poison,1.2,18.6,50,50,45,1059860,Medium Slow,390,75,80,85,100,50,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,4,1,1,1,2,0
46,Paras,2,bug,grass,0.3,5.4,50,50,190,1000000,Medium Fast,240,35,70,55,55,25,1,4,0.5,0.5,0.25,2,0.5,4,0.25,4,1,2,2,1,1,1,0
47,Parasect,2,bug,grass,1,29.5,50,50,75,1000000,Medium Fast,345,60,95,80,80,30,1,4,0.5,0.5,0.25,2,0.5,4,0.25,4,1,2,2,1,1,1,0
48,Venonat,2,bug,poison,1,30,50,50,190,1000000,Medium Fast,250,60,55,50,40,45,1,2,1,1,0.25,1,0.25,1,1,2,2,2,2,1,1,1,0
49,Venomoth,2,bug,poison,1.5,12.5,50,50,75,1000000,Medium Fast,375,70,65,60,90,90,1,2,1,1,0.25,1,0.25,1,1,2,2,2,2,1,1,1,0
50,Diglett,1,ground,None,0.2,0.8,50,50,255,1000000,Medium Fast,230,10,55,25,45,95,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,0
51,Dugtrio,1,ground,None,0.7,33.3,50,50,50,1000000,Medium Fast,355,35,80,50,70,120,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,0
52,Meowth,1,normal,None,0.4,4.2,50,50,255,1000000,Medium Fast,250,40,45,35,40,90,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,0
